,정류장_ID,정류장_명칭,정류장_유형,정류장_번호,위도,경도,geometry,sgg_oid,jibun,pnu,index_right,ADM_DR_CD,ADM_DR_NM
69074,104900044,기원정사입구,마을버스,5536,127.093137,37.554883,POINT (127.093137 37.554883),82196,109-5대,1121510100101090005,70,1105058,중곡4동
69089,104900029,긴고랑입구,마을버스,5559,127.088669,37.558736,POINT (127.088669 37.558736),79908,78-15대,1121510100100780015,70,1105058,중곡4동
69092,104900026,중곡4동어린이집입구,마을버스,5564,127.091668,37.558517,POINT (127.091668 37.558517),80107,75-48대,1121510100100750048,70,1105058,중곡4동
69095,104900023,CU중곡긴고랑점앞,마을버스,5569,127.093003,37.558759,POINT (127.093003 37.558759),79889,75-1대,1121510100100750001,70,1105058,중곡4동
69097,104900021,중앙상회앞,마을버스,5574,127.095196,37.560241,POINT (127.095196 37.560241),78544,73-15대,1121510100100730015,70,1105058,중곡4동
69117,104900001,종로약국앞,마을버스,5716,127.088106,37.557588,POINT (127.088106 37.557588),80602,79-9대,1121510100100790009,70,1105058,중곡4동
69131,104000294,긴고랑주차장,일반차로,5515,127.095631,37.560961,POINT (127.095631 37.560961),77934,72-63임,1121510100100720063,70,1105058,중곡4동
69270,104000046,중곡동입구,일반차로,5139,127.088669,37.554197,POINT (127.088669 37.554197),82328,93-46대,1121510100100930046,70,1105058,중곡4동
69272,104000044,중곡동종점,일반차로,5137,127.087309,37.562695,POINT (127.087309 37.562695),76291,150-405도,1121510100101500405,70,1105058,중곡4동
69273,104000043,대원고교앞,일반차로,5136,127.086968,37.564199,POINT (127.086968 37.564199),75803,18-72대,1121510100100180072,70,1105058,중곡4동
69274,104000042,용암사입구,일반차로,5135,127.086374,37.567868,POINT (127.086374 37.567868),74364,18-1대,1121510100100180001,70,1105058,중곡4동
69004,104900115,성자초등학교앞,마을버스,5596,127.082568,37.53152,POINT (127.082568 37.53152),95435,661-21도,1121510500106610021,76,1105064,자양1동
69006,104900113,국민은행자양지점,마을버스,5668,127.079297,37.532187,POINT (127.079297 37.532187),95042,616-39도,1121510500106160039,76,1105064,자양1동
69111,104900007,자양중학교앞,마을버스,5677,127.076276,37.534635,POINT (127.076276 37.534635),93692,611-4대,1121510500106110004,76,1105064,자양1동
69113,104900005,자양1파출소앞,마을버스,5680,127.076907,37.536765,POINT (127.076907 37.536765),92502,799-1대,1121510500107990001,76,1105064,자양1동
69229,104000095,자양동잠실대교북단,일반차로,5188,127.084806,37.532955,POINT (127.084806 37.532955),247496,658-14 대,1121510500106580014,76,1105064,자양1동
69230,104000094,자양아파트앞,일반차로,5187,127.084608,37.532192,POINT (127.084608 37.532192),106504,732 도,1121510500107320000,76,1105064,자양1동
69231,104000092,국민은행자양지점앞,일반차로,5185,127.081413,37.531573,POINT (127.081413 37.531573),95554,653-3도,1121510500106530003,76,1105064,자양1동
69232,104000090,자양미소약국.자양골목시장,일반차로,5183,127.077319,37.53275,POINT (127.077319 37.53275),105904,718 도,1121510500107180000,76,1105064,자양1동
69234,104000086,자양초등학교앞,일반차로,5179,127.078796,37.537479,POINT (127.078796 37.537479),92117,223-4대,1121510500102230004,76,1105064,자양1동
69235,104000085,자양초등학교앞,일반차로,5178,127.078659,37.537844,POINT (127.078659 37.537844),91863,224-17도,1121510500102240017,76,1105064,자양1동
69236,104000084,자양사거리,일반차로,5177,127.082104,37.53675,POINT (127.082104 37.53675),92111,219-16도,1121510500102190016,76,1105064,자양1동
69237,104000083,자양사거리,일반차로,5176,127.082604,37.536889,POINT (127.082604 37.536889),92111,219-16도,1121510500102190016,76,1105064,자양1동
69238,104000082,광진구청,일반차로,5175,127.083153,37.538488,POINT (127.083153 37.538488),91615,777대,1121510500107770000,76,1105064,자양1동
69021,104900098,미니스톱구의중앙점앞,마을버스,5710,127.089871,37.541563,POINT (127.089871 37.541563),87244,227-17도,1121510300102270017,72,1105060,구의1동
69027,104900092,구의역2번출구,마을버스,5590,127.087941,37.537691,POINT (127.087941 37.537691),88947,245-24도,1121510300102450024,72,1105060,구의1동
69040,104900079,구의역,마을버스,5718,127.089093,37.538276,POINT (127.089093 37.538276),88947,245-24도,1121510300102450024,72,1105060,구의1동
69260,104000056,구의역2번출구,일반차로,5149,127.087977,37.537703,POINT (127.087977 37.537703),88947,245-24도,1121510300102450024,72,1105060,구의1동
69028,104900091,광진경찰서앞,마을버스,5599,127.084355,37.542347,POINT (127.084355 37.542347),87552,250-19대,1121510300102500019,72,1105060,구의1동
69262,104000054,광진경찰서,일반차로,5147,127.084359,37.542211,POINT (127.084359 37.542211),87552,250-19대,1121510300102500019,72,1105060,구의1동
69029,104900090,광진경찰서,마을버스,5573,127.083714,37.541594,POINT (127.083714 37.541594),87237,236-11도,1121510300102360011,72,1105060,구의1동
69264,104000052,광진경찰서,일반차로,5145,127.083688,37.541534,POINT (127.083688 37.541534),87237,236-11도,1121510300102360011,72,1105060,구의1동
69104,104900014,구의역1번출구,마을버스,5594,127.08518,37.537009,POINT (127.08518 37.537009),89717,246-20도,1121510300102460020,72,1105060,구의1동
69112,104900006,래미안구의파크스위트사거리,마을버스,5679,127.090464,37.54413,POINT (127.090464 37.54413),105902,229-47 도,1121510300102290047,72,1105060,구의1동
69116,104900002,구의홈마트앞,마을버스,5714,127.089565,37.540319,POINT (127.089565 37.540319),88096,223-10도,1121510300102230010,72,1105060,구의1동
69259,104000057,래미안구의파크스위트,일반차로,5150,127.089104,37.544655,POINT (127.089104 37.544655),86566,230-1대,1121510300102300001,72,1105060,구의1동
69261,104000055,광진구청,일반차로,5148,127.083519,37.538986,POINT (127.083519 37.538986),89185,252-14대,1121510300102520014,72,1105060,구의1동
69263,104000053,광진경찰서,일반차로,5146,127.084647,37.543087,POINT (127.084647 37.543087),87266,236-46대,1121510300102360046,72,1105060,구의1동
69265,104000051,구의사거리.광진소방서앞,가로변시간,5144,127.08458,37.544933,POINT (127.08458 37.544933),86516,253-7대,1121510300102530007,72,1105060,구의1동
69023,104900096,아차산역,마을버스,5708,127.09054,37.55082,POINT (127.09054 37.55082),84609,96도,1121510300100960000,73,1105061,구의2동
69169,104000165,어린이대공원후문,일반차로,5258,127.090508,37.550867,POINT (127.090508 37.550867),84609,96도,1121510300100960000,73,1105061,구의2동
69308,104000006,어린이대공원후문아차산역,중앙차로,5006,127.090149,37.551208,POINT (127.090149 37.551208),84609,96도,1121510300100960000,73,1105061,구의2동
69024,104900095,구의사거리,마을버스,5669,127.086376,37.545849,POINT (127.086376 37.545849),86280,68-29대,1121510300100680029,73,1105061,구의2동
69255,104000061,구의사거리,일반차로,5154,127.086348,37.545817,POINT (127.086348 37.545817),86280,68-29대,1121510300100680029,73,1105061,구의2동
69025,104900094,구의사거리,마을버스,5568,127.08566,37.545566,POINT (127.08566 37.545566),85980,131도,1121510300101310000,73,1105061,구의2동
69256,104000060,구의사거리,일반차로,5153,127.085747,37.545651,POINT (127.085747 37.545651),85980,131도,1121510300101310000,73,1105061,구의2동
69026,104900093,구의2동주민센터,마을버스,5678,127.08961,37.548668,POINT (127.08961 37.548668),85391,71-26대,1121510300100710026,73,1105061,구의2동
69257,104000059,구의2동주민센터입구,일반차로,5152,127.089586,37.548642,POINT (127.089586 37.548642),85391,71-26대,1121510300100710026,73,1105061,구의2동
69039,104900080,영화사입구,마을버스,5717,127.09415,37.554083,POINT (127.09415 37.554083),84150,26-15대,1121510300100260015,73,1105061,구의2동
69057,104900061,아차산역사거리,마을버스,5752,127.091435,37.550672,POINT (127.091435 37.550672),211814,57-122 도,1121510300100570122,73,1105061,구의2동
69078,104900040,영화사입구,마을버스,5541,127.094118,37.554229,POINT (127.094118 37.554229),84127,87-1도,1121510300100870001,73,1105061,구의2동
69082,104900036,성안약국,마을버스,5545,127.093297,37.55321,POINT (127.093297 37.55321),106250,88-1 도,1121510300100880001,73,1105061,구의2동
69083,104900035,지영슈퍼,마을버스,5549,127.092194,37.551819,POINT (127.092194 37.551819),231318,89 도,1121510300100890000,73,1105061,구의2동
69084,104900034,아차산역사거리,마을버스,5553,127.091205,37.550807,POINT (127.091205 37.550807),105975,54-13대,1121510300100540013,73,1105061,구의2동
69088,104900030,선화예고앞,마을버스,5558,127.090059,37.549485,POINT (127.090059 37.549485),85053,111도,1121510300101110000,73,1105061,구의2동
69258,104000058,구의2동주민센터입구,일반차로,5151,127.089785,37.549252,POINT (127.089785 37.549252),85053,111도,1121510300101110000,73,1105061,구의2동
69091,104900027,대진택시,마을버스,5563,127.088099,37.54773,POINT (127.088099 37.54773),85662,129-1도,1121510300101290001,73,1105061,구의2동
69109,104900009,서울서광교회앞,마을버스,5672,127.088351,37.547585,POINT (127.088351 37.547585),85787,70-8대,1121510300100700008,73,1105061,구의2동
69114,104900004,지영슈퍼,마을버스,5709,127.09231,37.551774,POINT (127.09231 37.551774),84711,48-8대,1121510300100480008,73,1105061,구의2동
69115,104900003,성안약국,마을버스,5713,127.093392,37.553142,POINT (127.093392 37.553142),84369,31-23대,1121510300100310023,73,1105061,구의2동
69129,104000296,새밭교회,중앙차로,5009,127.093499,37.548918,POINT (127.093499 37.548918),154130,40-2 도,1121510300100400002,73,1105061,구의2동
69130,104000295,새밭교회,중앙차로,5010,127.092614,37.548958,POINT (127.092614 37.548958),85155,91도,1121510300100910000,73,1105061,구의2동
69170,104000164,새밭교회,일반차로,5257,127.092452,37.548948,POINT (127.092452 37.548948),85155,91도,1121510300100910000,73,1105061,구의2동
69171,104000163,새밭교회앞,일반차로,5256,127.093572,37.54906,POINT (127.093572 37.54906),105363,38 공,1121510300100380000,73,1105061,구의2동
69254,104000062,래미안구의파크스위트,일반차로,5155,127.089051,37.544964,POINT (127.089051 37.544964),233202,203-27 도,1121510300102030027,73,1105061,구의2동
69037,104900082,용마사거리,마을버스,5726,127.081243,37.562757,POINT (127.081243 37.562757),76488,277-5도,1121510100102770005,67,1105055,중곡1동
69038,104900081,동곡삼거리,마을버스,5730,127.078177,37.563758,POINT (127.078177 37.563758),106455,280-2 천,1121510100102800002,67,1105055,중곡1동
69158,104000251,동곡삼거리,일반차로,5690,127.078066,37.563788,POINT (127.078066 37.563788),106455,280-2 천,1121510100102800002,67,1105055,중곡1동
69073,104900045,기업은행.용마사거리,마을버스,5535,127.081433,37.562446,POINT (127.081433 37.562446),76799,242-3대,1121510100102420003,67,1105055,중곡1동
69144,104000275,중곡동성당,일반차로,5268,127.082525,37.562964,POINT (127.082525 37.562964),106490,675 도,1121510100106750000,67,1105055,중곡1동
69296,104000019,중곡2동주민센터앞,일반차로,5112,127.080855,37.559884,POINT (127.080855 37.559884),106490,675 도,1121510100106750000,67,1105055,중곡1동
69166,104000169,동곡삼거리,일반차로,5262,127.078145,37.563555,POINT (127.078145 37.563555),76157,247-5대,1121510100102470005,67,1105055,중곡1동
69286,104000030,중곡아파트,일반차로,5123,127.077177,37.565796,POINT (127.077177 37.565796),111569,263-1 도,1121510100102630001,67,1105055,중곡1동
69297,104000018,용마사거리,일반차로,5111,127.081872,37.562291,POINT (127.081872 37.562291),76888,163-2대,1121510100101630002,67,1105055,중곡1동
69299,104000015,중곡1동사거리,일반차로,5108,127.079416,37.562615,POINT (127.079416 37.562615),172465,264-1 도,1121510100102640001,67,1105055,중곡1동
69301,104000013,중곡1동주민센터입구,일반차로,5106,127.078495,37.56095,POINT (127.078495 37.56095),172465,264-1 도,1121510100102640001,67,1105055,중곡1동
69300,104000014,중곡1동사거리,일반차로,5107,127.079473,37.562454,POINT (127.079473 37.562454),76806,244-52도,1121510100102440052,67,1105055,중곡1동
69302,104000012,중곡1동주민센터입구,일반차로,5105,127.078279,37.560268,POINT (127.078279 37.560268),126273,643-4 종,1121510100106430004,67,1105055,중곡1동
69303,104000011,메리놀외방선교회,일반차로,5104,127.077632,37.559087,POINT (127.077632 37.559087),79555,640-2대,1121510100106400002,67,1105055,중곡1동
69304,104000010,메리놀외방선교회,일반차로,5103,127.077541,37.559211,POINT (127.077541 37.559211),79283,669도,1121510100106690000,67,1105055,중곡1동
69305,104000009,군자교,일반차로,5102,127.075229,37.562386,POINT (127.075229 37.562386),76788,610-3대,1121510100106100003,67,1105055,중곡1동
69306,104000008,군자교,일반차로,5101,127.075203,37.561533,POINT (127.075203 37.561533),77282,614-1대,1121510100106140001,67,1105055,중곡1동
69313,104000001,군자교입구,중앙차로,5001,127.075646,37.558741,POINT (127.075646 37.558741),79317,659도,1121510100106590000,67,1105055,중곡1동
69048,104900071,자양종합복지관앞,마을버스,5733,127.075324,37.53245,POINT (127.075324 37.53245),94663,717-2도,1121510500107170002,78,1105066,자양3동
69076,104900042,송림식당앞,마을버스,5539,127.07663,37.536822,POINT (127.07663 37.536822),106508,794-10 도,1121510500107940010,78,1105066,자양3동
69081,104900037,자양중학교앞,마을버스,5544,127.075996,37.534691,POINT (127.075996 37.534691),105909,712 도,1121510500107120000,78,1105066,자양3동
69125,104000300,뚝섬유원지,일반차로,5900,127.066791,37.531082,POINT (127.066791 37.531082),99533,97-5천,1121510500100970005,78,1105066,자양3동
69156,104000256,광진구의회,일반차로,5695,127.070479,37.539227,POINT (127.070479 37.539227),137162,227-337 도,1121510500102270337,78,1105066,자양3동
69218,104000111,광진문화예술회관,일반차로,5204,127.070169,37.538565,POINT (127.070169 37.538565),137162,227-337 도,1121510500102270337,78,1105066,자양3동
69167,104000168,제일은행사거리,일반차로,5261,127.074751,37.533551,POINT (127.074751 37.533551),94011,520-1도,1121510500105200001,78,1105066,자양3동
69214,104000118,자양우성아파트앞,일반차로,5211,127.073407,37.533947,POINT (127.073407 37.533947),94011,520-1도,1121510500105200001,78,1105066,자양3동
69203,104000129,신양초등학교앞,일반차로,5222,127.067995,37.53351,POINT (127.067995 37.53351),105300,855 대,1121510500108550000,78,1105066,자양3동
69211,104000121,대동아파트앞,일반차로,5214,127.068967,37.536419,POINT (127.068967 37.536419),247566,510-6 도,1121510500105100006,78,1105066,자양3동
69219,104000110,뚝도변전소앞,일반차로,5203,127.069025,37.536077,POINT (127.069025 37.536077),247566,510-6 도,1121510500105100006,78,1105066,자양3동
69212,104000120,자양고교앞,일반차로,5213,127.07136,37.534316,POINT (127.07136 37.534316),93803,553-501대,1121510500105530501,78,1105066,자양3동
69213,104000119,자양고교앞,일반차로,5212,127.071171,37.534579,POINT (127.071171 37.534579),105180,553-500도,1121510500105530500,78,1105066,자양3동
69215,104000117,자양우성아파트앞,일반차로,5210,127.073518,37.533686,POINT (127.073518 37.533686),94103,520-2대,1121510500105200002,78,1105066,자양3동
69216,104000116,신자초등학교앞,일반차로,5209,127.074922,37.530768,POINT (127.074922 37.530768),95993,738도,1121510500107380000,78,1105066,자양3동
69217,104000112,건국대학교앞,일반차로,5205,127.074875,37.538446,POINT (127.074875 37.538446),91809,227-217대,1121510500102270217,78,1105066,자양3동
69220,104000109,신양초등학교앞,일반차로,5202,127.068947,37.535234,POINT (127.068947 37.535234),105174,550-2도,1121510500105500002,78,1105066,자양3동
69221,104000108,신양초등학교앞,일반차로,5201,127.069288,37.534912,POINT (127.069288 37.534912),93467,504학,1121510500105040000,78,1105066,자양3동
69087,104900031,영동대교입구.성수사거리,마을버스,5556,127.064341,37.542399,POINT (127.064341 37.542399),101608,50-1대,1121510700100500001,65,1105053,화양동
69090,104900028,화양동현대아파트,마을버스,5561,127.06524,37.543983,POINT (127.06524 37.543983),101010,42-1대,1121510700100420001,65,1105053,화양동
69094,104900024,성수대우프레시아1차아파트,마을버스,5566,127.065985,37.545294,POINT (127.065985 37.545294),100537,41-9대,1121510700100410009,65,1105053,화양동
69096,104900022,화양사거리SKV1센터,마을버스,5571,127.066494,37.546197,POINT (127.066494 37.546197),100152,24-11대,1121510700100240011,65,1105053,화양동
69121,104000304,건대입구(가상),가상정류장,5499,127.07099,37.540191,POINT (127.07099 37.540191),106033,4-20 대,1121510700100040020,65,1105053,화양동
69124,104000301,건국대입구,일반차로,5901,127.067564,37.541115,POINT (127.067564 37.541115),101940,48-10도,1121510700100480010,65,1105053,화양동
69195,104000137,건대입구역1번출구,일반차로,5230,127.068167,37.540896,POINT (127.068167 37.540896),101940,48-10도,1121510700100480010,65,1105053,화양동
69134,104000290,어린이회관,일반차로,5233,127.079252,37.545262,POINT (127.079252 37.545262),102221,302-4대,1121510700103020004,65,1105053,화양동
69154,104000258,건대입구역,일반차로,5697,127.071901,37.54228,POINT (127.071901 37.54228),101402,4-14도,1121510700100040014,65,1105053,화양동
69155,104000257,건대입구역,일반차로,5696,127.072093,37.54338,POINT (127.072093 37.54338),100668,2-50도,1121510700100020050,65,1105053,화양동
69165,104000170,건대병원입구,일반차로,5263,127.071473,37.542108,POINT (127.071473 37.542108),101734,5-52도,1121510700100050052,65,1105053,화양동
69192,104000141,어린이대공원역.화양천주교회,일반차로,5234,127.073588,37.545904,POINT (127.073588 37.545904),99867,39-5도,1121510700100390005,65,1105053,화양동
69193,104000139,건대입구역사거리.건대병원,일반차로,5232,127.071264,37.540981,POINT (127.071264 37.540981),101930,4-15도,1121510700100040015,65,1105053,화양동
69194,104000138,어린이대공원역3번출구,일반차로,5231,127.075246,37.546695,POINT (127.075246 37.546695),102056,527-1도,1121510700105270001,65,1105053,화양동
69196,104000136,건대입구역사거리.건대병원,일반차로,5229,127.070908,37.540974,POINT (127.070908 37.540974),101984,5-106대,1121510700100050106,65,1105053,화양동
69197,104000135,서울화양초등학교,일반차로,5228,127.072222,37.543765,POINT (127.072222 37.543765),101064,2-49대,1121510700100020049,65,1105053,화양동
69198,104000134,어린이대공원역.화양천주교회,일반차로,5227,127.073628,37.546622,POINT (127.073628 37.546622),99982,164-2도,1121510700101640002,65,1105053,화양동
69199,104000133,광진광장,일반차로,5226,127.071152,37.547778,POINT (127.071152 37.547778),247412,116-24 대,1121510700101160024,65,1105053,화양동
69200,104000132,화양사거리,일반차로,5225,127.067089,37.547232,POINT (127.067089 37.547232),99810,23-28대,1121510700100230028,65,1105053,화양동
69201,104000131,성수사거리,일반차로,5224,127.064777,37.543159,POINT (127.064777 37.543159),101284,42-24대,1121510700100420024,65,1105053,화양동
69233,104000087,건국대학교앞,일반차로,5180,127.074926,37.538949,POINT (127.074926 37.538949),91575,526-34학,1121510700105260034,65,1105053,화양동
69126,104000299,중곡동입구삼거리,중앙차로,5008,127.084866,37.554827,POINT (127.084866 37.554827),106499,256-16 도,1121510200102560016,71,1105059,능동
69307,104000007,어린이대공원후문아차산역,중앙차로,5007,127.089245,37.552423,POINT (127.089245 37.552423),106499,256-16 도,1121510200102560016,71,1105059,능동
69137,104000287,아차산역,일반차로,5552,127.089052,37.552481,POINT (127.089052 37.552481),83660,256-5공,1121510200102560005,71,1105059,능동
69150,104000262,군자역,일반차로,5701,127.07906,37.555912,POINT (127.07906 37.555912),82540,279-4대,1121510200102790004,71,1105059,능동
69152,104000260,세종대학교,일반차로,5699,127.076031,37.549855,POINT (127.076031 37.549855),234817,18 공,1121510200100180000,71,1105059,능동
69266,104000050,어린이회관,가로변시간,5143,127.077231,37.546028,POINT (127.077231 37.546028),83932,465-2도,1121510200104650002,71,1105059,능동
69267,104000049,구의사거리.광진소방서앞,가로변시간,5142,127.083978,37.54525,POINT (127.083978 37.54525),83940,462도,1121510200104620000,71,1105059,능동
69268,104000048,능동사거리.군자역,일반차로,5141,127.078635,37.555177,POINT (127.078635 37.555177),105245,282-1대,1121510200102820001,71,1105059,능동
69269,104000047,어린이대공원앞,일반차로,5140,127.077031,37.552046,POINT (127.077031 37.552046),83819,315-14대,1121510200103150014,71,1105059,능동
69310,104000004,군자역.용마초등학교,중앙차로,5004,127.081566,37.556223,POINT (127.081566 37.556223),82493,265-10도,1121510200102650010,71,1105059,능동
69132,104000293,화양사거리,일반차로,5249,127.068684,37.548329,POINT (127.068684 37.548329),110561,355-9 도,1121510900103550009,66,1105054,군자동
69151,104000261,군자역,일반차로,5700,127.078861,37.556364,POINT (127.078861 37.556364),102723,499도,1121510900104990000,66,1105054,군자동
69174,104000160,능동사거리.군자역,일반차로,5253,127.07882,37.556322,POINT (127.07882 37.556322),102723,499도,1121510900104990000,66,1105054,군자동
69153,104000259,세종대학교,일반차로,5698,127.075566,37.549862,POINT (127.075566 37.549862),104686,92-18도,1121510900100920018,66,1105054,군자동
69172,104000162,군자동주민센터앞,일반차로,5255,127.076153,37.554899,POINT (127.076153 37.554899),103410,64-2도,1121510900100640002,66,1105054,군자동
69173,104000161,군자역먹자골목사거리,일반차로,5254,127.077546,37.556079,POINT (127.077546 37.556079),102648,498도,1121510900104980000,66,1105054,군자동
69175,104000159,능동교회앞,일반차로,5252,127.076993,37.552874,POINT (127.076993 37.552874),106467,47-2 도,1121510900100470002,66,1105054,군자동
69176,104000158,어린이대공원앞.세종대학교,일반차로,5251,127.07544,37.549752,POINT (127.07544 37.549752),247549,98 학,1121510900100980000,66,1105054,군자동
69177,104000157,광진광장,일반차로,5250,127.071362,37.548015,POINT (127.071362 37.548015),104521,346-42도,1121510900103460042,66,1105054,군자동
69178,104000155,장안초등학교,일반차로,5248,127.070521,37.548761,POINT (127.070521 37.548761),105397,360-48 도,1121510900103600048,66,1105054,군자동
69179,104000154,장안초등학교,일반차로,5247,127.070755,37.548692,POINT (127.070755 37.548692),105821,503-1 도,1121510900105030001,66,1105054,군자동
69180,104000153,군자새마을금고앞,일반차로,5246,127.071088,37.551357,POINT (127.071088 37.551357),104475,342-23도,1121510900103420023,66,1105054,군자동
69181,104000152,군자새마을금고.성동광진위센터,일반차로,5245,127.071323,37.551851,POINT (127.071323 37.551851),104367,364대,1121510900103640000,66,1105054,군자동
69182,104000151,세종초교앞,일반차로,5244,127.074255,37.553771,POINT (127.074255 37.553771),105355,64-6 대,1121510900100640006,66,1105054,군자동
69183,104000150,세종초등학교.세종사이버대학교앞,일반차로,5243,127.07324,37.553426,POINT (127.07324 37.553426),103937,111-2도,1121510900101110002,66,1105054,군자동
69184,104000149,군자삼거리,일반차로,5242,127.075323,37.554647,POINT (127.075323 37.554647),125313,49-19 대,1121510900100490019,66,1105054,군자동
69185,104000148,군자삼거리,일반차로,5241,127.075287,37.554976,POINT (127.075287 37.554976),102755,55-1도,1121510900100550001,66,1105054,군자동
69186,104000147,능동우편취급국,일반차로,5240,127.076033,37.556161,POINT (127.076033 37.556161),103056,49-5도,1121510900100490005,66,1105054,군자동
69187,104000146,KEB.하나은행.군자동.지점,일반차로,5239,127.076559,37.557156,POINT (127.076559 37.557156),102684,471-18도,1121510900104710018,66,1105054,군자동
69188,104000145,KEB.하나은행.군자동.지점,일반차로,5238,127.076709,37.557709,POINT (127.076709 37.557709),102394,484도,1121510900104840000,66,1105054,군자동
69312,104000002,군자교입구,중앙차로,5002,127.0749,37.558794,POINT (127.0749 37.558794),102394,484도,1121510900104840000,66,1105054,군자동
69189,104000144,군자교남단,일반차로,5237,127.072788,37.557411,POINT (127.072788 37.557411),102556,29-65도,1121510900100290065,66,1105054,군자동
69190,104000143,송정동건영아파트,일반차로,5236,127.07125,37.554597,POINT (127.07125 37.554597),247426,130-8대,1121510900101300008,66,1105054,군자동
69191,104000142,송정동서울숲아이파크,일반차로,5235,127.069598,37.551704,POINT (127.069598 37.551704),241249,341-55 도,1121510900103410055,66,1105054,군자동
69157,104000255,광진구의회,일반차로,5694,127.070117,37.539197,POINT (127.070117 37.539197),97471,2-5도,1121510500100020005,79,1105067,자양4동
69160,104000238,영동대교북단,일반차로,5667,127.061227,37.536746,POINT (127.061227 37.536746),106486,203-22 도,1121510500102030022,79,1105067,자양4동
69206,104000126,노룬산시장앞,일반차로,5219,127.062945,37.536806,POINT (127.062945 37.536806),106486,203-22 도,1121510500102030022,79,1105067,자양4동
69161,104000237,자양동,일반차로,5666,127.06754,37.53535,POINT (127.06754 37.53535),93306,553-363대,1121510500105530363,79,1105067,자양4동
69162,104000236,자양동,일반차로,5665,127.067986,37.535533,POINT (127.067986 37.535533),92867,508-9도,1121510500105080009,79,1105067,자양4동
69210,104000122,국민은행신자양지점,일반차로,5215,127.067313,37.535664,POINT (127.067313 37.535664),92867,508-9도,1121510500105080009,79,1105067,자양4동
69164,104000171,뚝섬유원지,일반차로,5264,127.066811,37.532116,POINT (127.066811 37.532116),85798,65-2도,1121510500100650002,79,1105067,자양4동
69202,104000130,자양4동주민센터앞,일반차로,5223,127.067497,37.533632,POINT (127.067497 37.533632),104192,65-11도,1121510500100650011,79,1105067,자양4동
69204,104000128,노룬산시장앞,일반차로,5221,127.062899,37.536607,POINT (127.062899 37.536607),98485,239-1대,1121510500102390001,79,1105067,자양4동
69205,104000127,영동대교북단,일반차로,5220,127.061162,37.536568,POINT (127.061162 37.536568),98481,235-3전,1121510500102350003,79,1105067,자양4동
69207,104000125,건대로데오거리입구,일반차로,5218,127.069926,37.538919,POINT (127.069926 37.538919),247655,2-65 도,1121510500100020065,79,1105067,자양4동
69208,104000124,건대입구역6번출구,일반차로,5217,127.067279,37.540827,POINT (127.067279 37.540827),97155,8-24대,1121510500100080024,79,1105067,자양4동
69209,104000123,노룬산시장,일반차로,5216,127.062691,37.539503,POINT (127.062691 37.539503),97503,250-10대,1121510500102500010,79,1105067,자양4동
69222,104000107,국민은행신자양지점,일반차로,5200,127.066875,37.535572,POINT (127.066875 37.535572),93172,553-187대,1121510500105530187,79,1105067,자양4동
