,Unnamed: 0,정류장_ID,시간합,역명,행정동,정류장_명칭,정류장_유형,정류장_번호,위도,경도,geometry,sgg_oid,jibun,pnu,index_right,ADM_DR_CD,ADM_DR_NM
0,53,104000055,4543287.061018459,광진구청,구의1동,광진구청,일반차로,5148,127.083519,37.538986,POINT (127.083519 37.538986),89185,252-14대,1121510300102520014,72,1105060,구의1동
1,114,104000139,4099490.860804101,건대입구역사거리.건대병원,화양동,건대입구역사거리.건대병원,일반차로,5232,127.071264,37.540981,POINT (127.071264 37.540981),101930,4-15도,1121510700100040015,65,1105053,화양동
2,89,104000111,4021562.717467047,광진문화예술회관,자양3동,광진문화예술회관,일반차로,5204,127.070169,37.538565,POINT (127.070169 37.538565),137162,227-337 도,1121510500102270337,78,1105066,자양3동
3,50,104000052,3663630.036679418,광진경찰서,구의1동,광진경찰서,일반차로,5145,127.083688,37.541534,POINT (127.083688 37.541534),87237,236-11도,1121510300102360011,72,1105060,구의1동
4,7,104000007,3661800.2595105753,어린이대공원후문아차산역,능동,어린이대공원후문아차산역,중앙차로,5007,127.089245,37.552423,POINT (127.089245 37.552423),106499,256-16 도,1121510200102560016,71,1105059,능동
5,6,104000006,3095186.917007923,어린이대공원후문아차산역,구의2동,어린이대공원후문아차산역,중앙차로,5006,127.090149,37.551208,POINT (127.090149 37.551208),84609,96도,1121510300100960000,73,1105061,구의2동
6,2,104000002,2981545.6466716137,군자교입구,군자동,군자교입구,중앙차로,5002,127.0749,37.558794,POINT (127.0749 37.558794),102394,484도,1121510900104840000,66,1105054,군자동
7,3,104000003,2947707.2254381576,군자역.용마초등학교,중곡2동,군자역.용마초등학교,중앙차로,5003,127.082473,37.556099,POINT (127.082473 37.556099),81135,272-12도,1121510100102720012,68,1105056,중곡2동
8,100,104000125,2896831.398246292,건대로데오거리입구,자양4동,건대로데오거리입구,일반차로,5218,127.069926,37.538919,POINT (127.069926 37.538919),247655,2-65 도,1121510500100020065,79,1105067,자양4동
9,69,104000082,2891974.182622457,광진구청,자양1동,광진구청,일반차로,5175,127.083153,37.538488,POINT (127.083153 37.538488),91615,777대,1121510500107770000,76,1105064,자양1동
10,133,104000160,2828223.8388183205,능동사거리.군자역,군자동,능동사거리.군자역,일반차로,5253,127.07882,37.556322,POINT (127.07882 37.556322),102723,499도,1121510900104990000,66,1105054,군자동
11,148,104000279,2726807.192671552,테크노마트앞.강변역,구의3동,테크노마트앞.강변역,일반차로,5162,127.094195,37.536672,POINT (127.094195 37.536672),89609,546-3도,1121510300105460003,74,1105062,구의3동
12,241,104900097,2545413.777462965,강변역A,구의3동,강변역A,마을버스,5582,127.093633,37.53588,POINT (127.093633 37.53588),89785,546-7대,1121510300105460007,74,1105062,구의3동
13,4,104000004,2511213.729424769,군자역.용마초등학교,능동,군자역.용마초등학교,중앙차로,5004,127.081566,37.556223,POINT (127.081566 37.556223),82493,265-10도,1121510200102650010,71,1105059,능동
14,81,104000098,2508863.3654227383,국민은행자양지점앞,자양2동,국민은행자양지점앞,일반차로,5191,127.080739,37.531531,POINT (127.080739 37.531531),95617,636-5대,1121510500106360005,77,1105065,자양2동
15,83,104000101,2408357.3921877304,자양동잠실대교북단,자양2동,자양동잠실대교북단,일반차로,5194,127.085851,37.53212,POINT (127.085851 37.53212),95076,732-3도,1121510500107320003,77,1105065,자양2동
16,5,104000005,2398732.948383464,중곡동입구삼거리,중곡2동,중곡동입구삼거리,중앙차로,5005,127.086551,37.554497,POINT (127.086551 37.554497),106493,272-14 도,1121510100102720014,68,1105056,중곡2동
17,1,104000001,2202108.412772073,군자교입구,중곡1동,군자교입구,중앙차로,5001,127.075646,37.558741,POINT (127.075646 37.558741),79317,659도,1121510100106590000,67,1105055,중곡1동
18,178,104900019,2136778.499197414,구의역4번출구,자양2동,구의역4번출구,마을버스,5580,127.084837,37.536654,POINT (127.084837 37.536654),92569,216-10대,1121510500102160010,77,1105065,자양2동
19,111,104000136,2044196.3086356884,건대입구역사거리.건대병원,화양동,건대입구역사거리.건대병원,일반차로,5229,127.070908,37.540974,POINT (127.070908 37.540974),101984,5-106대,1121510700100050106,65,1105053,화양동
20,78,104000095,2019151.336490472,자양동잠실대교북단,자양1동,자양동잠실대교북단,일반차로,5188,127.084806,37.532955,POINT (127.084806 37.532955),247496,658-14 대,1121510500106580014,76,1105064,자양1동
21,173,104900014,2016238.200769972,구의역1번출구,구의1동,구의역1번출구,마을버스,5594,127.08518,37.537009,POINT (127.08518 37.537009),89717,246-20도,1121510300102460020,72,1105060,구의1동
22,80,104000097,1994173.5026979237,자양미소약국.자양골목시장,자양2동,자양미소약국.자양골목시장,일반차로,5190,127.076871,37.5327,POINT (127.076871 37.5327),94782,608-7대,1121510500106080007,77,1105065,자양2동
23,102,104000127,1920810.2834990448,영동대교북단,자양4동,영동대교북단,일반차로,5220,127.061162,37.536568,POINT (127.061162 37.536568),98481,235-3전,1121510500102350003,79,1105067,자양4동
24,130,104000157,1899599.313874266,광진광장,군자동,광진광장,일반차로,5250,127.071362,37.548015,POINT (127.071362 37.548015),104521,346-42도,1121510900103460042,66,1105054,군자동
25,268,104900129,1888259.5322645083,강변역.테크노마트앞,구의3동,강변역.테크노마트앞,마을버스,5999,127.094602,37.536276,POINT (127.094602 37.536276),89609,546-3도,1121510300105460003,74,1105062,구의3동
26,0,101000252,1840656.8033699424,신성시장앞,중곡2동,신성시장앞,일반차로,5118,127.087676,37.558316,POINT (127.087676 37.558316),106492,266-5 도,1121510100102660005,68,1105056,중곡2동
27,90,104000112,1787410.0724190453,건국대학교앞,자양3동,건국대학교앞,일반차로,5205,127.074875,37.538446,POINT (127.074875 37.538446),91809,227-217대,1121510500102270217,78,1105066,자양3동
28,82,104000100,1736417.775715877,자양아파트앞,자양2동,자양아파트앞,일반차로,5193,127.084673,37.531973,POINT (127.084673 37.531973),95341,679-16대,1121510500106790016,77,1105065,자양2동
29,76,104000092,1726605.8977676665,국민은행자양지점앞,자양1동,국민은행자양지점앞,일반차로,5185,127.081413,37.531573,POINT (127.081413 37.531573),95554,653-3도,1121510500106530003,76,1105064,자양1동
30,156,104000298,1697090.9555673886,광나루역,광장동,광나루역,중앙차로,5011,127.103282,37.545508,POINT (127.103282 37.545508),91137,238도,1121510400102380000,75,1105063,광장동
31,155,104000297,1666646.9105204295,광나루역,광장동,광나루역,중앙차로,5012,127.103268,37.545177,POINT (127.103268 37.545177),91170,237-12도,1121510400102370012,75,1105063,광장동
32,54,104000056,1645165.6301581552,구의역2번출구,구의1동,구의역2번출구,일반차로,5149,127.087977,37.537703,POINT (127.087977 37.537703),88947,245-24도,1121510300102450024,72,1105060,구의1동
33,63,104000069,1563578.763718999,테크노마트앞.강변역,구의3동,테크노마트앞.강변역,일반차로,5267,127.094065,37.53683,POINT (127.094065 37.53683),89609,546-3도,1121510300105460003,74,1105062,구의3동
34,51,104000053,1518507.256112161,광진경찰서,구의1동,광진경찰서,일반차로,5146,127.084647,37.543087,POINT (127.084647 37.543087),87266,236-46대,1121510300102360046,72,1105060,구의1동
35,115,104000141,1495031.3401568113,어린이대공원역.화양천주교회,화양동,어린이대공원역.화양천주교회,일반차로,5234,127.073588,37.545904,POINT (127.073588 37.545904),99867,39-5도,1121510700100390005,65,1105053,화양동
36,150,104000291,1440542.405787673,동서울우편집중국앞,자양2동,동서울우편집중국앞,일반차로,5192,127.084408,37.535282,POINT (127.084408 37.535282),93237,680-68대,1121510500106800068,77,1105065,자양2동
37,151,104000293,1429001.2056757745,화양사거리,군자동,화양사거리,일반차로,5249,127.068684,37.548329,POINT (127.068684 37.548329),110561,355-9 도,1121510900103550009,66,1105054,군자동
38,109,104000134,1426022.4646543283,어린이대공원역.화양천주교회,화양동,어린이대공원역.화양천주교회,일반차로,5227,127.073628,37.546622,POINT (127.073628 37.546622),99982,164-2도,1121510700101640002,65,1105053,화양동
39,44,104000046,1388213.184219797,중곡동입구,중곡4동,중곡동입구,일반차로,5139,127.088669,37.554197,POINT (127.088669 37.554197),82328,93-46대,1121510100100930046,70,1105058,중곡4동
40,88,104000110,1357565.244950798,뚝도변전소앞,자양3동,뚝도변전소앞,일반차로,5203,127.069025,37.536077,POINT (127.069025 37.536077),247566,510-6 도,1121510500105100006,78,1105066,자양3동
41,79,104000096,1324424.526431068,신자초등학교앞,자양2동,신자초등학교앞,일반차로,5189,127.075013,37.530369,POINT (127.075013 37.530369),96414,591학,1121510500105910000,77,1105065,자양2동
42,99,104000124,1315804.6561082762,건대입구역,자양4동,건대입구역6번출구,일반차로,5217,127.067279,37.540827,POINT (127.067279 37.540827),97155,8-24대,1121510500100080024,79,1105067,자양4동
43,77,104000094,1238818.4621194403,자양아파트앞,자양1동,자양아파트앞,일반차로,5187,127.084608,37.532192,POINT (127.084608 37.532192),106504,732 도,1121510500107320000,76,1105064,자양1동
44,112,104000137,1235307.2310312956,건대입구역,화양동,건대입구역1번출구,일반차로,5230,127.068167,37.540896,POINT (127.068167 37.540896),101940,48-10도,1121510700100480010,65,1105053,화양동
45,57,104000059,1223378.6470510408,구의2동주민센터입구,구의2동,구의2동주민센터입구,일반차로,5152,127.089586,37.548642,POINT (127.089586 37.548642),85391,71-26대,1121510300100710026,73,1105061,구의2동
46,58,104000060,1219900.420496208,구의사거리,구의2동,구의사거리,일반차로,5153,127.085747,37.545651,POINT (127.085747 37.545651),85980,131도,1121510300101310000,73,1105061,구의2동
47,108,104000133,1196939.5117344838,광진광장,화양동,광진광장,일반차로,5226,127.071152,37.547778,POINT (127.071152 37.547778),247412,116-24 대,1121510700101160024,65,1105053,화양동
48,46,104000048,1195908.643308018,능동사거리.군자역,능동,능동사거리.군자역,일반차로,5141,127.078635,37.555177,POINT (127.078635 37.555177),105245,282-1대,1121510200102820001,71,1105059,능동
49,136,104000165,1174022.0779438734,어린이대공원후문,구의2동,어린이대공원후문,일반차로,5258,127.090508,37.550867,POINT (127.090508 37.550867),84609,96도,1121510300100960000,73,1105061,구의2동
