,표준버스정류장ID,역명
2328,101000252,신성시장앞
4429,104000001,군자교입구
4438,104000002,군자교입구
4447,104000003,군자역.용마초등학교
4455,104000004,군자역.용마초등학교
4463,104000005,중곡동입구삼거리
4471,104000006,어린이대공원후문아차산역
4478,104000007,어린이대공원후문아차산역
4487,104000008,군자교
4491,104000009,군자교
4495,104000010,메리놀외방선교회
4497,104000011,메리놀외방선교회
4500,104000012,중곡1동주민센터입구
4503,104000013,중곡1동주민센터입구
4505,104000014,중곡1동사거리
4508,104000015,중곡1동사거리
4510,104000016,중마초등학교.중곡제일골목시장앞
4512,104000018,용마사거리
4514,104000019,중곡2동주민센터앞
4518,104000020,중곡2동주민센터앞
4522,104000021,중곡동성당앞
4526,104000022,종합의료복합단지
4530,104000023,중곡동종점
4533,104000024,중곡보건지소
4535,104000026,중곡우체국앞
4537,104000027,면곡시장
4543,104000028,면곡시장
4548,104000029,중곡아파트
4553,104000030,중곡아파트
4558,104000031,중마초등학교.중곡제일골목시장앞
4562,104000032,중곡역입구
4564,104000033,중곡역입구
4568,104000034,중곡3동주민센터앞
4570,104000035,중곡3동주민센터앞
4574,104000036,면곡시장앞
4578,104000037,면곡시장앞
4580,104000038,용암사입구
4584,104000039,용곡삼거리
4588,104000040,중곡역.국립정신건강센터
4592,104000041,대원고교앞
4596,104000042,용암사입구
4598,104000043,대원고교앞
4600,104000044,중곡동종점
4602,104000045,신성시장
4604,104000046,중곡동입구
4607,104000047,어린이대공원앞
4615,104000048,능동사거리.군자역
4623,104000049,구의사거리.광진소방서앞
4625,104000050,어린이회관
4627,104000051,구의사거리.광진소방서앞
4629,104000052,광진경찰서
4638,104000053,광진경찰서
4643,104000054,광진경찰서
4645,104000055,광진구청
4654,104000056,구의역2번출구
4658,104000057,래미안구의파크스위트
4660,104000058,구의2동주민센터입구
4665,104000059,구의2동주민센터입구
4672,104000060,구의사거리
4679,104000061,구의사거리
4686,104000062,래미안구의파크스위트
4688,104000064,현대아파트앞
4691,104000065,광진우체국
4695,104000069,테크노마트앞.강변역
4697,104000070,현대2단지
4699,104000071,올림픽대교북단사거리
4702,104000072,올림픽대교북단사거리
4705,104000075,광나루역.극동아파트
4706,104000076,광나루역.극동아파트
4707,104000082,광진구청
4716,104000083,자양사거리
4718,104000084,자양사거리
4720,104000085,자양초등학교앞
4722,104000086,자양초등학교앞
4724,104000087,건국대학교앞
4727,104000090,자양미소약국.자양골목시장
4731,104000092,국민은행자양지점앞
4735,104000094,자양아파트앞
4738,104000095,자양동잠실대교북단
4745,104000096,신자초등학교앞
4749,104000097,자양미소약국.자양골목시장
4753,104000098,국민은행자양지점앞
4757,104000100,자양아파트앞
4761,104000101,자양동잠실대교북단
4767,104000106,구의역3번출구
4771,104000107,국민은행신자양지점
4776,104000108,신양초등학교앞
4779,104000109,신양초등학교앞
4781,104000110,뚝도변전소앞
4786,104000111,광진문화예술회관
4791,104000112,건국대학교앞
4794,104000116,신자초등학교앞
4798,104000117,자양우성아파트앞
4801,104000118,자양우성아파트앞
4804,104000119,자양고교앞
4807,104000120,자양고교앞
4810,104000121,대동아파트앞
4815,104000122,국민은행신자양지점
4820,104000123,노룬산시장
4827,104000124,건대입구역
4836,104000125,건대로데오거리입구
4841,104000126,노룬산시장앞
4846,104000127,영동대교북단
4856,104000128,노룬산시장앞
4861,104000129,신양초등학교앞
4863,104000130,자양4동주민센터앞
4865,104000131,성수사거리
4867,104000132,화양사거리
4869,104000133,광진광장
4874,104000134,어린이대공원역.화양천주교회
4885,104000135,서울화양초등학교
4896,104000136,건대입구역사거리.건대병원
4906,104000137,건대입구역
4914,104000138,어린이대공원역3번출구
4916,104000139,건대입구역사거리.건대병원
4928,104000141,어린이대공원역.화양천주교회
4940,104000142,송정동서울숲아이파크
4943,104000143,송정동건영아파트
4946,104000144,군자교남단
4947,104000145,KEB하나은행군자동지점
4949,104000146,KEB하나은행군자동지점
4952,104000147,능동우편취급국
4955,104000148,군자삼거리
4957,104000149,군자삼거리
4960,104000150,세종초등학교.세종사이버대학교앞
4963,104000151,세종초교앞
4966,104000152,군자새마을금고.성동광진위센터
4969,104000153,군자새마을금고앞
4972,104000154,장안초등학교
4975,104000155,장안초등학교
4978,104000157,광진광장
4984,104000158,어린이대공원앞.세종대학교
4992,104000159,능동교회앞
5000,104000160,능동사거리.군자역
5008,104000161,군자역먹자골목사거리
5009,104000162,군자동주민센터앞
5010,104000165,어린이대공원후문
5012,104000167,중곡동입구
5015,104000168,제일은행사거리
5017,104000169,동곡삼거리
5018,104000170,건대병원입구
5019,104000248,면곡시장
5021,104000251,동곡삼거리
5023,104000269,광진청소년수련관
5024,104000272,용곡삼거리
5026,104000273,중곡역.국립정신건강센터
5028,104000274,종합의료복합단지
5030,104000275,중곡동성당
5032,104000279,테크노마트앞.강변역
5036,104000290,어린이회관
5038,104000291,동서울우편집중국앞
5045,104000293,화양사거리
5049,104000294,긴고랑주차장
5050,104000295,새밭교회
5053,104000296,새밭교회
5056,104000297,광나루역
5059,104000298,광나루역
5062,104000299,중곡동입구삼거리
5070,104000302,구의3동주민센터
5071,104000303,구의3동주민센터
5072,104000304,건대입구
5084,104900001,종로약국앞
5085,104900002,구의홈마트앞
5086,104900003,성안약국
5087,104900004,지영슈퍼
5088,104900005,자양1파출소앞
5089,104900006,래미안구의파크스위트사거리
5090,104900007,자양중학교앞
5091,104900009,서울서광교회앞
5093,104900010,청구아파트앞
5094,104900011,한전삼거리
5095,104900012,광장중학교앞
5096,104900013,장신대앞
5097,104900014,구의역1번출구
5099,104900015,워커힐아파트입구
5100,104900016,행운슈퍼앞
5101,104900017,워커힐아파트
5102,104900018,장신대앞
5103,104900019,구의역4번출구
5105,104900020,광장중학교앞
5106,104900021,중앙상회앞
5107,104900022,화양사거리성수SKV1센터
5108,104900023,CU중곡긴고랑점앞
5109,104900024,성수대우프레시아1차아파트
5110,104900025,래미안구의파크스위트사거리
5111,104900026,중곡4동어린이집입구
5112,104900027,대진택시
5114,104900028,화양동현대아파트
5115,104900029,긴고랑입구
5116,104900030,선화예고앞
5118,104900031,영동대교입구.성수사거리
5119,104900032,구의홈마트앞
5120,104900033,중곡보건지소
5122,104900034,아차산역사거리
5123,104900035,지영슈퍼
5124,104900036,성안약국
5125,104900037,자양중학교앞
5126,104900038,강변역.테크노마트앞
5127,104900039,군자역
5128,104900040,영화사입구
5129,104900041,중곡우체국앞
5131,104900042,송림식당앞
5132,104900043,찬양교회
5133,104900044,기원정사입구
5134,104900045,기업은행.용마사거리
5135,104900046,현대3차아파트
5136,104900047,해오름공원입구
5137,104900048,우리들약국
5138,104900049,긴고랑입구
5139,104900050,광남고.삼성아파트
5140,104900051,새마을금고.브레드제과점
5141,104900052,중곡4동어린이집입구
5142,104900053,신성시장입구
5143,104900054,광나루현대아파트
5144,104900055,CU중곡긴고랑점앞
5145,104900056,구.새마을금고앞
5146,104900057,한강호텔입구
5147,104900058,정보도서관
5149,104900059,긴고랑종점
5151,104900061,아차산역사거리
5152,104900063,워커힐팰리스
5153,104900064,한강호텔입구
5154,104900065,중곡4동파출소
5155,104900066,광나루현대아파트
5156,104900067,대원외고앞
5157,104900068,대순진리회앞.구.새마을금고
5158,104900070,신성시장입구
5159,104900071,자양종합복지관앞
5160,104900072,새마을금고앞
5161,104900073,현대3.5차아파트
5162,104900074,우리들약국
5163,104900075,프라임아파트앞
5164,104900076,해오름공원입구
5165,104900077,테크노마트.광진문화원
5166,104900078,기원정사입구
5167,104900079,구의역
5168,104900080,영화사입구
5169,104900082,용마사거리
5170,104900085,중곡아파트.종점
5171,104900089,중앙상회앞
5172,104900091,광진경찰서앞
5174,104900097,강변역A
5175,104900098,미니스톱구의중앙점앞
5176,104900099,구의아크로리버앞
5177,104900100,구의역
5178,104900102,미니스톱구의중앙점앞
5179,104900103,동서울호텔앞
5180,104900106,한창주택
5181,104900107,한창주택
5182,104900108,광남고.삼성아파트
5183,104900109,신동아아파트
5184,104900110,워커힐아파트입구
5185,104900112,국민은행자양지점
5186,104900113,국민은행자양지점
5187,104900114,성자초등학교앞
5188,104900115,성자초등학교앞
5189,104900116,행운슈퍼앞
5190,104900118,청구아파트앞
5191,104900119,한전삼거리
5192,104900120,용마초등학교
5193,104900121,중곡4동경로당입구앞
5194,104900122,강원설비앞
5195,104900123,강원설비앞
5196,104900124,중곡4동경로당입구앞
5197,104900125,중곡119안전센터
5198,104900126,광장자이아파트
5199,104900127,광장자이아파트
5200,104900128,중곡아파트.기점
5201,104900129,강변역.테크노마트앞
